"","found_taxa","common_name","rank"
"127","Spirinchus starksi","Night smelt","species"
"128","Artedius notospilotus","Bonehead sculpin","species"
"129","Orthonopias triacis","Snubnose sculpin","species"
"130","Clinocottus globiceps","Mosshead sculpin","species"
"131","Clinocottus embryum","Calico sculpin","species"
"132","Pleuronichthys ritteri","Spotted turbot","species"
"133","Cheilotrema saturnum","Black croaker","species"
"134","Paraclinus integripinnis","Reef finspot","species"
"135","Hypsoblennius gilberti","Rockpool blenny","species"
"136","Sphyraena argentea","Pacific barracuda","species"
"137","Genyonemus lineatus","White croaker","species"
"138","Rhinichthys cataractae","Longnose dace","species"
"139","Agonopsis vulsa","Northern spearnose poacher","species"
"140","Chitonotus pugetensis","Roughback sculpin","species"
"141","Clinocottus analis","Wooly sculpin","species"
"142","Bodianus pulcher","California sheephead","species"
"143","Gobiesox rhessodon","California clingfish","species"
